year,month,states,stressor,stress_pct
2015,January-March,Other States,Other pests/parasites,0.1
2015,January-March,Other States,Varroa Mites,0.8
2015,January-March,Other States,Pesticides,0.1
2015,January-March,Other States,Unknown,
2015,January-March,Pennsylvania,Varroa Mites,28.1
2015,January-March,Pennsylvania,Other pests/parasites,6.3
2015,January-March,Pennsylvania,Pesticides,1.9
2015,January-March,Pennsylvania,Diseases,1.9
2015,January-March,Pennsylvania,Unknown,6.3
2015,January-March,Pennsylvania,Other,17.8
2015,January-March,South Carolina,Unknown,2.9
2015,January-March,South Carolina,Varroa Mites,10.5
2015,January-March,South Carolina,Pesticides,0.3
2015,January-March,South Carolina,Other pests/parasites,2.3
2015,January-March,South Carolina,Diseases,0.2
2015,January-March,South Carolina,Other,3.6
2015,January-March,South Dakota,Varroa Mites,1.2
2015,January-March,South Dakota,Unknown,1.8
2015,January-March,South Dakota,Other pests/parasites,0.9
2015,January-March,South Dakota,Diseases,0.3
2015,January-March,South Dakota,Other,1.2
2015,January-March,South Dakota,Pesticides,0.5
2015,January-March,Tennessee,Other,13.0
2015,January-March,Tennessee,Unknown,4.4
2015,January-March,Tennessee,Pesticides,
2015,January-March,Tennessee,Varroa Mites,22.2
2015,January-March,Tennessee,Diseases,
2015,January-March,Tennessee,Other pests/parasites,17.1
2015,January-March,Texas,Varroa Mites,21.5
2015,January-March,Texas,Other,2.3
2015,January-March,Texas,Diseases,5.0
2015,January-March,Texas,Other pests/parasites,12.2
2015,January-March,Texas,Unknown,6.2
2015,January-March,Texas,Pesticides,11.1
2015,January-March,Utah,Other pests/parasites,0.9
2015,January-March,Utah,Other,3.0
2015,January-March,Utah,Unknown,0.5
2015,January-March,Utah,Pesticides,4.4
2015,January-March,Utah,Varroa Mites,13.6
2015,January-March,Utah,Diseases,0.1
2015,January-March,Vermont,Varroa Mites,2.3
2015,January-March,Vermont,Other,5.8
2015,January-March,Vermont,Diseases,
2015,January-March,Vermont,Other pests/parasites,5.6
2015,January-March,Vermont,Unknown,4.9
2015,January-March,Vermont,Pesticides,
2015,January-March,Virginia,Varroa Mites,19.0
2015,January-March,Virginia,Other pests/parasites,9.4
2015,January-March,Virginia,Pesticides,
2015,January-March,Virginia,Other,9.8
2015,January-March,Virginia,Unknown,11.9
2015,January-March,Virginia,Diseases,2.3
2015,January-March,Washington,Other pests/parasites,0.5
2015,January-March,Washington,Pesticides,3.6
2015,January-March,Washington,Other,6.0
2015,January-March,Washington,Varroa Mites,21.5
2015,January-March,Washington,Unknown,1.1
2015,January-March,Washington,Diseases,0.3
2015,January-March,West Virginia,Other,14.6
2015,January-March,West Virginia,Diseases,2.2
2015,January-March,West Virginia,Varroa Mites,18.0
2015,January-March,West Virginia,Pesticides,2.1
2015,January-March,West Virginia,Other pests/parasites,7.3
2015,January-March,West Virginia,Unknown,6.1
2015,January-March,Wisconsin,Unknown,5.8
2015,January-March,Wisconsin,Other pests/parasites,1.6
2015,January-March,Wisconsin,Pesticides,8.5
2015,January-March,Wisconsin,Other,8.3
2015,January-March,Wisconsin,Diseases,2.7
2015,January-March,Wisconsin,Varroa Mites,18.8
2015,January-March,Wyoming,Varroa Mites,0.9
2015,January-March,Wyoming,Other pests/parasites,
2015,January-March,Wyoming,Other,0.7
2015,January-March,Wyoming,Diseases,
2015,January-March,Wyoming,Unknown,
2015,January-March,Wyoming,Pesticides,
2015,April-June,Alabama,Varroa Mites,16.7
2015,April-June,Alabama,Diseases,
2015,April-June,Alabama,Unknown,4.1
2015,April-June,Alabama,Other,3.2
2015,April-June,Alabama,Pesticides,2.3
2015,April-June,Alabama,Other pests/parasites,42.5
2015,April-June,Arizona,Varroa Mites,8.4
2015,April-June,Arizona,Diseases,0.5
2015,April-June,Arizona,Unknown,0.3
2015,April-June,Arizona,Other pests/parasites,32.1
2015,April-June,Arizona,Other,28.2
2015,April-June,Arizona,Pesticides,20.1
2015,April-June,Arkansas,Other pests/parasites,63.4
2015,April-June,Arkansas,Diseases,7.0
2015,April-June,Arkansas,Varroa Mites,65.9
2015,April-June,Arkansas,Pesticides,22.6
2015,April-June,Arkansas,Unknown,9.3
2015,April-June,Arkansas,Other,27.4
2015,April-June,California,Pesticides,23.0
2015,April-June,California,Other pests/parasites,21.5
2015,April-June,California,Varroa Mites,50.9
2015,April-June,California,Other,14.2
2015,April-June,California,Unknown,3.1
2015,April-June,California,Diseases,7.8
2015,April-June,Colorado,Pesticides,2.8
2015,April-June,Colorado,Other,3.4
2015,April-June,Colorado,Varroa Mites,38.6
2015,April-June,Colorado,Unknown,6.6
2015,April-June,Colorado,Other pests/parasites,1.8
2015,April-June,Colorado,Diseases,4.6
2015,April-June,Connecticut,Pesticides,0.8
2015,April-June,Connecticut,Other pests/parasites,0.4
2015,April-June,Connecticut,Other,1.0
2015,April-June,Connecticut,Diseases,1.9
2015,April-June,Connecticut,Unknown,0.7
2015,April-June,Connecticut,Varroa Mites,10.2
2015,April-June,Florida,Diseases,2.7
2015,April-June,Florida,Other,13.6
2015,April-June,Florida,Other pests/parasites,26.4
2015,April-June,Florida,Unknown,5.4
2015,April-June,Florida,Varroa Mites,44.2
2015,April-June,Florida,Pesticides,17.7
2015,April-June,Georgia,Other,11.5
2015,April-June,Georgia,Unknown,4.1
2015,April-June,Georgia,Other pests/parasites,17.5
2015,April-June,Georgia,Pesticides,28.7
2015,April-June,Georgia,Diseases,2.9
2015,April-June,Georgia,Varroa Mites,52.8
2015,April-June,Hawaii,Diseases,0.3
2015,April-June,Hawaii,Unknown,0.1
2015,April-June,Hawaii,Other,3.2
2015,April-June,Hawaii,Other pests/parasites,61.0
2015,April-June,Hawaii,Varroa Mites,60.1
2015,April-June,Hawaii,Pesticides,0.1
2015,April-June,Idaho,Diseases,6.5
2015,April-June,Idaho,Other,13.7
2015,April-June,Idaho,Other pests/parasites,6.7
2015,April-June,Idaho,Varroa Mites,25.5
2015,April-June,Idaho,Unknown,0.3
2015,April-June,Idaho,Pesticides,6.0
2015,April-June,Illinois,Varroa Mites,10.3
2015,April-June,Illinois,Diseases,0.2
2015,April-June,Illinois,Pesticides,2.5
2015,April-June,Illinois,Other pests/parasites,3.7
2015,April-June,Illinois,Other,2.3
2015,April-June,Illinois,Unknown,2.4
2015,April-June,Indiana,Pesticides,0.5
2015,April-June,Indiana,Other pests/parasites,1.8
2015,April-June,Indiana,Varroa Mites,15.4
2015,April-June,Indiana,Other,4.4
2015,April-June,Indiana,Diseases,7.0
2015,April-June,Indiana,Unknown,2.0
2015,April-June,Iowa,Pesticides,7.8
2015,April-June,Iowa,Other pests/parasites,5.1
2015,April-June,Iowa,Unknown,1.9
2015,April-June,Iowa,Varroa Mites,21.5
2015,April-June,Iowa,Other,2.7
2015,April-June,Iowa,Diseases,2.9
2015,April-June,Kansas,Other,3.5
2015,April-June,Kansas,Unknown,4.9
2015,April-June,Kansas,Varroa Mites,14.4
2015,April-June,Kansas,Pesticides,0.1
2015,April-June,Kansas,Other pests/parasites,2.4
2015,April-June,Kansas,Diseases,0.9
2015,April-June,Kentucky,Diseases,5.3
2015,April-June,Kentucky,Pesticides,1.8
2015,April-June,Kentucky,Other,9.5
2015,April-June,Kentucky,Other pests/parasites,18.2
2015,April-June,Kentucky,Unknown,2.9
2015,April-June,Kentucky,Varroa Mites,21.7
2015,April-June,Louisiana,Varroa Mites,36.4
2015,April-June,Louisiana,Pesticides,1.1
2015,April-June,Louisiana,Other,5.0
2015,April-June,Louisiana,Other pests/parasites,3.7
2015,April-June,Louisiana,Diseases,0.2
2015,April-June,Louisiana,Unknown,0.5
2015,April-June,Maine,Other pests/parasites,34.5
2015,April-June,Maine,Pesticides,34.5
2015,April-June,Maine,Unknown,0.1
2015,April-June,Maine,Diseases,0.1
2015,April-June,Maine,Varroa Mites,72.1
2015,April-June,Maine,Other,0.5
2015,April-June,Maryland,Unknown,1.5
2015,April-June,Maryland,Other pests/parasites,1.3
2015,April-June,Maryland,Diseases,0.2
2015,April-June,Maryland,Other,1.6
2015,April-June,Maryland,Varroa Mites,4.9
2015,April-June,Maryland,Pesticides,2.5
2015,April-June,Massachusetts,Other,4.4
2015,April-June,Massachusetts,Diseases,0.2
2015,April-June,Massachusetts,Unknown,3.1
2015,April-June,Massachusetts,Other pests/parasites,61.7
2015,April-June,Massachusetts,Pesticides,61.8
2015,April-June,Massachusetts,Varroa Mites,66.8
2015,April-June,Michigan,Varroa Mites,26.9
2015,April-June,Michigan,Other,16.4
2015,April-June,Michigan,Diseases,0.6
2015,April-June,Michigan,Unknown,3.1
2015,April-June,Michigan,Other pests/parasites,13.0
2015,April-June,Michigan,Pesticides,9.1
2015,April-June,Minnesota,Unknown,9.3
2015,April-June,Minnesota,Varroa Mites,25.4
2015,April-June,Minnesota,Diseases,1.4
2015,April-June,Minnesota,Pesticides,16.5
2015,April-June,Minnesota,Other,10.1
2015,April-June,Minnesota,Other pests/parasites,6.2
2015,April-June,Mississippi,Pesticides,0.1
2015,April-June,Mississippi,Other,2.3
2015,April-June,Mississippi,Varroa Mites,10.1
2015,April-June,Mississippi,Unknown,1.7
2015,April-June,Mississippi,Diseases,0.3
2015,April-June,Mississippi,Other pests/parasites,6.0
2015,April-June,Missouri,Other,1.0
2015,April-June,Missouri,Diseases,3.1
2015,April-June,Missouri,Other pests/parasites,6.2
2015,April-June,Missouri,Varroa Mites,5.1
2015,April-June,Missouri,Pesticides,1.6
2015,April-June,Missouri,Unknown,7.4
2015,April-June,Montana,Unknown,
2015,April-June,Montana,Other pests/parasites,0.9
2015,April-June,Montana,Pesticides,5.3
2015,April-June,Montana,Other,1.6
2015,April-June,Montana,Varroa Mites,9.0
2015,April-June,Montana,Diseases,0.8
2015,April-June,Nebraska,Varroa Mites,6.5
2015,April-June,Nebraska,Unknown,1.5
2015,April-June,Nebraska,Other pests/parasites,6.9
2015,April-June,Nebraska,Pesticides,1.4
2015,April-June,Nebraska,Other,2.1
2015,April-June,Nebraska,Diseases,
2015,April-June,New Jersey,Pesticides,26.1
2015,April-June,New Jersey,Varroa Mites,52.5
2015,April-June,New Jersey,Unknown,2.4
2015,April-June,New Jersey,Other pests/parasites,3.6
2015,April-June,New Jersey,Diseases,0.3
2015,April-June,New Jersey,Other,1.0
2015,April-June,New Mexico,Other,0.4
2015,April-June,New Mexico,Unknown,2.7
2015,April-June,New Mexico,Other pests/parasites,
2015,April-June,New Mexico,Pesticides,5.9
2015,April-June,New Mexico,Diseases,15.5
2015,April-June,New Mexico,Varroa Mites,38.8
2015,April-June,New York,Diseases,4.5
2015,April-June,New York,Other pests/parasites,12.5
2015,April-June,New York,Varroa Mites,19.1
2015,April-June,New York,Pesticides,4.4
2015,April-June,New York,Unknown,1.1
2015,April-June,New York,Other,3.3
2015,April-June,North Carolina,Other pests/parasites,14.3
2015,April-June,North Carolina,Pesticides,3.5
2015,April-June,North Carolina,Unknown,3.0
2015,April-June,North Carolina,Other,5.8
2015,April-June,North Carolina,Varroa Mites,51.0
2015,April-June,North Carolina,Diseases,0.3
2015,April-June,North Dakota,Other pests/parasites,3.0
2015,April-June,North Dakota,Unknown,0.3
2015,April-June,North Dakota,Varroa Mites,15.5
2015,April-June,North Dakota,Pesticides,4.3
2015,April-June,North Dakota,Other,4.6
2015,April-June,North Dakota,Diseases,0.1
2015,April-June,Ohio,Pesticides,11.9
2015,April-June,Ohio,Unknown,29.0
2015,April-June,Ohio,Varroa Mites,15.8
2015,April-June,Ohio,Other pests/parasites,4.1
2015,April-June,Ohio,Other,11.2
2015,April-June,Ohio,Diseases,3.0
2015,April-June,Oklahoma,Other,7.0
2015,April-June,Oklahoma,Unknown,1.9
2015,April-June,Oklahoma,Other pests/parasites,6.3
2015,April-June,Oklahoma,Diseases,
2015,April-June,Oklahoma,Pesticides,0.1
2015,April-June,Oklahoma,Varroa Mites,66.1
2015,April-June,Oregon,Pesticides,16.0
2015,April-June,Oregon,Varroa Mites,39.3
2015,April-June,Oregon,Unknown,0.4
2015,April-June,Oregon,Other,5.8
2015,April-June,Oregon,Diseases,13.2
2015,April-June,Oregon,Other pests/parasites,20.9
2015,April-June,Other States,Other,0.1
2015,April-June,Other States,Diseases,
2015,April-June,Other States,Other pests/parasites,9.1
2015,April-June,Other States,Varroa Mites,36.3
2015,April-June,Other States,Pesticides,
2015,April-June,Other States,Unknown,
2015,April-June,Pennsylvania,Varroa Mites,11.4
2015,April-June,Pennsylvania,Other pests/parasites,5.8
2015,April-June,Pennsylvania,Pesticides,1.6
2015,April-June,Pennsylvania,Diseases,2.6
2015,April-June,Pennsylvania,Unknown,2.1
2015,April-June,Pennsylvania,Other,6.7
2015,April-June,South Carolina,Unknown,0.7
2015,April-June,South Carolina,Varroa Mites,29.9
2015,April-June,South Carolina,Pesticides,1.4
2015,April-June,South Carolina,Other pests/parasites,5.4
2015,April-June,South Carolina,Diseases,0.5
2015,April-June,South Carolina,Other,3.7
2015,April-June,South Dakota,Varroa Mites,9.8
2015,April-June,South Dakota,Unknown,1.5
2015,April-June,South Dakota,Other pests/parasites,11.1
2015,April-June,South Dakota,Diseases,1.8
2015,April-June,South Dakota,Other,1.4
2015,April-June,South Dakota,Pesticides,2.0
2015,April-June,Tennessee,Other,2.6
2015,April-June,Tennessee,Unknown,3.0
2015,April-June,Tennessee,Pesticides,9.8
2015,April-June,Tennessee,Varroa Mites,47.8
2015,April-June,Tennessee,Diseases,1.8
2015,April-June,Tennessee,Other pests/parasites,26.3
2015,April-June,Texas,Varroa Mites,19.3
2015,April-June,Texas,Other,7.4
2015,April-June,Texas,Diseases,2.5
2015,April-June,Texas,Other pests/parasites,22.9
2015,April-June,Texas,Unknown,3.0
2015,April-June,Texas,Pesticides,6.6
2015,April-June,Utah,Other pests/parasites,10.8
2015,April-June,Utah,Other,5.6
2015,April-June,Utah,Unknown,1.2
2015,April-June,Utah,Pesticides,12.3
2015,April-June,Utah,Varroa Mites,27.2
2015,April-June,Utah,Diseases,1.5
2015,April-June,Vermont,Varroa Mites,3.7
2015,April-June,Vermont,Other,1.3
2015,April-June,Vermont,Diseases,0.1
2015,April-June,Vermont,Other pests/parasites,1.9
2015,April-June,Vermont,Unknown,0.1
2015,April-June,Vermont,Pesticides,
2015,April-June,Virginia,Varroa Mites,26.2
2015,April-June,Virginia,Other pests/parasites,13.0
2015,April-June,Virginia,Pesticides,0.2
2015,April-June,Virginia,Other,3.0
2015,April-June,Virginia,Unknown,4.5
2015,April-June,Virginia,Diseases,1.8
2015,April-June,Washington,Other pests/parasites,0.2
2015,April-June,Washington,Pesticides,2.0
2015,April-June,Washington,Other,3.2
2015,April-June,Washington,Varroa Mites,48.7
2015,April-June,Washington,Unknown,0.5
2015,April-June,Washington,Diseases,2.2
2015,April-June,West Virginia,Other,4.6
2015,April-June,West Virginia,Diseases,0.6
2015,April-June,West Virginia,Varroa Mites,15.6
2015,April-June,West Virginia,Pesticides,2.7
2015,April-June,West Virginia,Other pests/parasites,8.3
2015,April-June,West Virginia,Unknown,4.4
2015,April-June,Wisconsin,Unknown,2.3
2015,April-June,Wisconsin,Other pests/parasites,5.6
2015,April-June,Wisconsin,Pesticides,8.2
2015,April-June,Wisconsin,Other,15.2
2015,April-June,Wisconsin,Diseases,1.0
2015,April-June,Wisconsin,Varroa Mites,35.3
2015,April-June,Wyoming,Varroa Mites,19.1
2015,April-June,Wyoming,Other pests/parasites,17.9
2015,April-June,Wyoming,Other,8.3
2015,April-June,Wyoming,Diseases,0.8
2015,April-June,Wyoming,Unknown,2.4
2015,April-June,Wyoming,Pesticides,3.6
2015,July-September,Alabama,Varroa Mites,63.1
2015,July-September,Alabama,Diseases,
2015,July-September,Alabama,Unknown,17.7
2015,July-September,Alabama,Other,2.2
2015,July-September,Alabama,Pesticides,2.6
2015,July-September,Alabama,Other pests/parasites,70.6
2015,July-September,Arizona,Varroa Mites,53.5
2015,July-September,Arizona,Diseases,5.4
2015,July-September,Arizona,Unknown,5.1
2015,July-September,Arizona,Other pests/parasites,24.8
2015,July-September,Arizona,Other,7.6
2015,July-September,Arizona,Pesticides,17.3
2015,July-September,Arkansas,Other pests/parasites,32.4
2015,July-September,Arkansas,Diseases,0.9
2015,July-September,Arkansas,Varroa Mites,69.2
2015,July-September,Arkansas,Pesticides,5.0
2015,July-September,Arkansas,Unknown,1.4
2015,July-September,Arkansas,Other,1.8
2015,July-September,California,Pesticides,19.6
2015,July-September,California,Other pests/parasites,20.4
2015,July-September,California,Varroa Mites,39.9
2015,July-September,California,Other,15.0
2015,July-September,California,Unknown,4.7
2015,July-September,California,Diseases,12.5
2015,July-September,Colorado,Pesticides,16.5
2015,July-September,Colorado,Other,3.7
2015,July-September,Colorado,Varroa Mites,50.5
2015,July-September,Colorado,Unknown,2.7
2015,July-September,Colorado,Other pests/parasites,1.5
2015,July-September,Colorado,Diseases,2.7
2015,July-September,Connecticut,Pesticides,1.5
2015,July-September,Connecticut,Other pests/parasites,1.2
2015,July-September,Connecticut,Other,7.8
2015,July-September,Connecticut,Diseases,0.4
2015,July-September,Connecticut,Unknown,
2015,July-September,Connecticut,Varroa Mites,39.3
2015,July-September,Florida,Diseases,6.7
2015,July-September,Florida,Other,21.9
2015,July-September,Florida,Other pests/parasites,21.7
2015,July-September,Florida,Unknown,3.4
2015,July-September,Florida,Varroa Mites,39.5
2015,July-September,Florida,Pesticides,22.9
2015,July-September,Georgia,Other,8.9
2015,July-September,Georgia,Unknown,3.6
2015,July-September,Georgia,Other pests/parasites,16.2
2015,July-September,Georgia,Pesticides,21.2
2015,July-September,Georgia,Diseases,3.6
2015,July-September,Georgia,Varroa Mites,47.6
2015,July-September,Hawaii,Diseases,0.1
2015,July-September,Hawaii,Unknown,
2015,July-September,Hawaii,Other,2.5
2015,July-September,Hawaii,Other pests/parasites,80.5
2015,July-September,Hawaii,Varroa Mites,78.1
2015,July-September,Hawaii,Pesticides,0.1
2015,July-September,Idaho,Diseases,1.7
2015,July-September,Idaho,Other,2.2
2015,July-September,Idaho,Other pests/parasites,5.2
2015,July-September,Idaho,Varroa Mites,46.8
2015,July-September,Idaho,Unknown,6.4
2015,July-September,Idaho,Pesticides,10.0
2015,July-September,Illinois,Varroa Mites,7.7
2015,July-September,Illinois,Diseases,0.6
2015,July-September,Illinois,Pesticides,0.4
2015,July-September,Illinois,Other pests/parasites,3.0
2015,July-September,Illinois,Other,3.4
2015,July-September,Illinois,Unknown,1.0
2015,July-September,Indiana,Pesticides,8.2
2015,July-September,Indiana,Other pests/parasites,10.3
2015,July-September,Indiana,Varroa Mites,13.7
2015,July-September,Indiana,Other,1.0
2015,July-September,Indiana,Diseases,4.8
2015,July-September,Indiana,Unknown,6.2
2015,July-September,Iowa,Pesticides,4.7
2015,July-September,Iowa,Other pests/parasites,5.8
2015,July-September,Iowa,Unknown,3.4
2015,July-September,Iowa,Varroa Mites,17.4
2015,July-September,Iowa,Other,5.6
2015,July-September,Iowa,Diseases,0.1
2015,July-September,Kansas,Other,14.8
2015,July-September,Kansas,Unknown,1.7
